제품명,주성분,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?,이 약은 어떻게 보관해야 합니까?
콘티포르테정,γ오리자놀|니코틴산아미드|콜린타르타르산염|판토텐산칼슘|리보플라빈부티레이트|이노시톨|콘드로이틴설페이트나트륨|피리독신염산염|시아노코발라민1000배산|벤포티아민|우르소데옥시콜산,이 약은 육체피로|임신·수유기|병중·병후의체력저하시비타민B1|B2|B6의보급에사용합니다.이 약은  함유된비타민등을통해신경통|근육통|관절통(요통|어깨결림등)증상의완화및각기|눈의피로에사용합니다.,만19세이상의성인은1회1정씩|1일1회복용합니다.,상온에서 보관하십시오
콘티플러스연질캡슐,콘드로이틴설페이트나트륨|푸르설티아민|리보플라빈부티레이트|니코틴산아미드|판토텐산칼슘|피리독신염산염|시아노코발라민|토코페롤아세테이트|γ오리자놀,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민E|B1|B2|B6의보급과말초혈행장애및갱년기시어깨ㆍ목결림|수족저림ㆍ수족냉증(손발이차가움)|신경통|근육통|관절통(요(허리)통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화|각기|눈의피로에사용합니다.,성인및만8세이상의어린이와청소년은1회1캡슐씩|1일2회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘파워600정,콘드로이틴설페이트나트륨|푸르설티아민|리보플라빈부티레이트|피리독신염산염|니코틴산아미드|판토텐산칼슘|감마오리자놀,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시 비타민B1|B2|B6의보급과 신경통|근육통|관절통(요통|어깨결림등)증상의완화와 각기|눈의피로에사용합니다.,만8세이상및성인은 1회1정씩|1일1회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콜그린에이캡슐,아세트아미노펜|에텐자미드|카페인무수물|클로르페니라민말레산염|덱스트로메토르판브롬화수소산염수화물|푸르설티아민염산염|리보플라빈|dl메틸에페드린염산염,이 약은 감기의여러증상(콧물|코막힘|재채기|인후(목구멍)통|기침|가래|오한(춥고떨리는증상)|발열|두통|관절통|근육통)의완화에사용합니다.,성인은1회2캡슐|1일3회식후30분에복용합니다.만8~14세어린이는1회1캡슐|1일3회식후30분에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콜다나정,아세트아미노펜제피세립|카페인무수물,이 약은 인후(목구멍)통|오한(춥고떨리는증상)|발열|두통|관절통|근육통등감기의여러증상의완화에사용합니다.,만15세이상및성인은1회1정씩|1일3회식후30분에복용합니다.,습기와빛을피해 상온에서 보관하십시오
콜다운연질캡슐,판테틴|콩기름불검화물|비타민E,이 약은 고콜레스테롤혈증의개선|고콜레스테롤혈증에수반되는말초혈행장애(수족냉증|저림)의완화에사용합니다.,성인은1회2캡슐|1일3회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콜대원노즈에스시럽,아세트아미노펜|클로르페니라민말레산염|카페인무수물|슈도에페드린염산염,이 약은 감기의여러증상(콧물|코막힘|재채기|인후(목구멍)통|오한(춥고떨리는증상)|발열|두통|관절통|근육통)의완화에사용합니다.,만15세이상1회20mL|만11세이상~만15세미만1회13mL|만7세이상~만11세미만1회10mL|만3세이상~만7세미만1회6.5mL|만2세이상~만3세미만1회5mL씩|1일3회식후30분에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콜대원코나에스나잘스프레이액,자일로메타졸린염산염|클로르페니라민말레산염,이 약은 코감기(급성비염)|알레르기성비염또는부비동염에의한코막힘|콧물|재채기|머리무거움의완화에사용합니다.,만12세이상소아및성인은1회1번씩|1일1~3회비강(코안)에분무합니다(뿌립니다).매회최소8시간이상의간격을두고적용하며|1일3회를초과하지않도록합니다.연령및증상에따라적절히증감할수있습니다.,빛과습기를피해상온에서 보관하십시오
콜대원코프에스시럽,아세트아미노펜|펜톡시베린시트르산염|dl메틸에페드린염산염|구아이페네신|카페인무수물|슈도에페드린염산염,이 약은 감기의여러증상(콧물|코막힘|재채기|기침|가래|인후(목구멍)통|오한(춥고떨리는증상)|발열|두통|관절통|근육통)의완화에사용합니다.,만15세이상은1회1포(20mL)|만11세이상~만15세미만1회2/3포|만7세이상~만11세미만1회1/2포|만3세이상~만7세미만1회1/3포|만2세이상~만3세미만1회1/4포|1일3회식후30분에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콜대원코프큐시럽,아세트아미노펜|덱스트로메토르판브롬화수소산염수화물|DL메틸에페드린염산염|구아이페네신|카페인무수물,이 약은 감기의제증상[인후통|기침|가래|오한(춥고떨리는증상)|발열|두통|관절통|근육통]의완화에사용합니다.,만15세이상1포(20mL)|만11세이상~만15세미만2/3포|만7세이상~만11세미만1/2포|만3세이상~만7세미만1/3포|만2세이상~만3세미만1/4포를1일3회식후30분에복용합니다.만2세미만에게투여하지않습니다.원칙적으로복용간격은4시간으로합니다.,습기와빛을 피해 실온에서 보관하십시오
콜대원콜드시럽,아세트아미노펜|클로르페니라민말레산염|펜톡시베린시트르산염|dl메틸에페드린염산염|구아이페네신|카페인무수물,이 약은 감기의여러증상(콧물|코막힘|재채기|기침|가래|인후(목구멍)통|오한(춥고떨리는증상)|발열|두통|관절통|근육통)의완화에사용합니다.,만15세이상은 1회1포(20mL)|만11세이상~만15세미만은1회2/3포|만7세이상~만11세미만은1회1/2포|만3세이상~만7세미만은1회1/3포|만2세이상~만3세미만은1회1/4포|1일3회식후30분에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콜대원콜드에스시럽,아세트아미노펜|클로르페니라민말레산염|펜톡시베린시트르산염|dl메틸에페드린염산염|구아이페네신|카페인무수물,이 약은 감기의여러증상(콧물|코막힘|재채기|인후(목구멍)통|기침|가래|오한(춥고떨리는증상)|발열|두통|관절통|근육통)의완화에사용합니다.,만15세이상은1회1포(20mL)|만11세이상~만15세미만1회2/3포|만7세이상~만11세미만1회1/2포|만3세이상~만7세미만1회1/3포|만2세이상~만3세미만1회1/4포|1일3회식후30분에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콜대원콜드큐시럽,아세트아미노펜|클로르페니라민말레산염|덱스트로메토르판브롬화수소산염수화물|DL메틸에페드린염산염|구아이페네신|카페인무수물,이 약은 감기의제증상(콧물|코막힘|재채기|인후통|기침|가래|오한[춥고떨리는증상]|발열|두통|관절통|근육통)의완화에사용합니다.,만15세이상1포(20mL)|만11세이상~만15세미만2/3포|만7세이상~만11세미만1/2포|만3세이상~만7세미만1/3포|만2세이상~만3세미만1/4포를1일3회식후30분에복용합니다.만2세미만에게투여하지않습니다.원칙적으로복용간격은4시간으로합니다.,습기와빛을 피해 실온에서 보관하십시오
콜대원키즈노즈에스시럽,클로르페니라민말레산염|슈도에페드린염산염,이 약은 눈의가려움|눈물|콧물|코또는인후(목구멍)의가려움|재채기|코막힘및부비동울혈의일시적완화에사용합니다.,만12세이상및성인은1회4포(20mL)|만6세이상~만12세미만은1회2포(10mL)|만2세이상~만6세미만은1회1포(5mL)씩|4~6시간마다복용하고|24시간동안4회를넘지않습니다.,습기와 빛을 피해 25℃ 이하에서 보관하십시오
콜대원키즈이부펜시럽(이부프로펜),이부프로펜,이 약은 류마티양관절염|연소성류마티양관절염|골관절염(퇴행성관절질환)|감기로인한발열및동통|요통|월경곤란증|수술후동통과강직성척추염|두통|치통|근육통|신경통|급성통풍|건선성관절염|연조직손상(염좌|좌상)|비관절류마티스질환(건염|건초염|활액낭염)에사용합니다.,11~14세는1회200~250mg(10~13mL)|7~10세는1회150~200mg(8~10mL)|3~6세는1회100~150mg(5~8mL)|1~2세는1회50~100mg(3~5mL)을1일3~4회복용합니다.체중이30kg미만인어린이는1일량이500mg(25mL)을초과해서는안되며공복시투여는피하는것이바람직합니다.,빛을 피해 실온에서 보관하십시오
콜대원키즈코프시럽,펜톡시베린시트르산염|dl메틸에페드린염산염|구아이페네신,이 약은 기침|가래|천식에사용합니다.,만15세이상은1회20mL(4포)|만11세이상~만15세미만은1회13mL(2와2/3포)|만8세이상~만11세미만은1회10mL(2포)|만5세이상~만8세미만은1회6.5mL(1과1/3포)|만3세이상~만5세미만은5mL(1포)|만2세이상~만3세미만은1회4mL(4/5포)씩1일5~6회복용합니다.약4시간간격을두고복용합니다.만2세미만에게투여하지않으며|꼭필요한경우의사의진료를받으십시오.,습기를피해상온에서 보관하십시오
콜대원키즈콜드시럽,아세트아미노펜|클로르페니라민말레산염|덱스트로메토르판브롬화수소산염수화물|DL메틸에페드린염산염|구아이페네신,이 약은 감기의여러증상(콧물|코막힘|재채기|인후(목구멍)통|기침|가래|오한(춥고떨리는증상)|발열|두통|관절통|근육통)의완화에사용합니다.,만15세이상은 1회20mL(2포)|만11세이상~만15세미만은1회13mL|만7세이상~만11세미만은1회 10mL|만3세이상~만7세미만은1회 6.5mL|만2세이상~만3세미만은1회5mL|매식후및취침시에 복용합니다.복용간격은4시간이상으로합니다.,습기와빛을 피해 실온에서 보관하십시오
콜대원키즈펜시럽(아세트아미노펜),아세트아미노펜,이 약은 감기로인한발열및동통(통증)|두통|신경통|근육통|월경통|염좌통(삔통증)과치통|관절통|류마티양동통(통증)에사용합니다.,만12세이하의소아는1회권장용량을4~6시간마다필요시복용합니다.이 약은 가능한최단기간동안최소유효용량으로복용하며|1일5회(75mg/kg)를초과하여복용하지않습니다.연령대별권장용량은허가사항을참고하십시오.,상온에서 보관하십시오
콜드브레이크캡슐,아세트아미노펜|클로르페니라민말레산염|덱스트로메토르판브롬화수소산염수화물|구아이페네신,이 약은 감기의제증상(콧물|코막힘|재채기|인후통|기침|가래|오한|발열|두통|관절통|근육통)의완화에사용합니다.,성인은1회2캡슐씩|8~14세이하어린이는1회1캡슐씩|1일3회식후30분에복용합니다.만2세미만에게투여하지않습니다.다만|꼭필요한경우의사의진료를받으십시오.,습기와빛을 피해 실온에서 보관하십시오
콜드샷시럽,아세트아미노펜|클로르페니라민말레산염|펜톡시베린시트르산염|DL메틸에페드린염산염|구아이페네신|카페인무수물,이 약은 감기의여러증상(콧물|코막힘|재채기|인후통|기침|가래|오한(춥고떨리는증상)|발열|두통|관절통|근육통)의완화에사용합니다.,만15세이상은1회1포(20mL)씩|만11세이상~만15세미만1회2/3포씩|만7세이상~만11세미만1회1/2포씩|만3세이상~만7세미만1회1/3포씩|만2세이상~만3세미만1회1/4포씩|1일3회식후30분에4시간간격을두고 복용합니다.,습기와빛을 피해 실온에서 보관하십시오
